Best_Parent,Worst_Parent,Child_Cost,Status
287.6596660508469,305.69507138200737,357.66753163653067,Destructive (Worse than both)
289.3403813838061,1804.0670833908637,890.7038271728554,Interpolation (In between)
289.3445594876157,439.70075623315523,381.1173344336491,Interpolation (In between)
289.349490079425,359.5967925272458,368.0340857469256,Destructive (Worse than both)
290.1024444794779,1804.0670833908637,887.1452128357996,Interpolation (In between)
292.88141601361974,1804.0670833908637,881.0600696703827,Interpolation (In between)
293.51237789989335,583.4932477187659,372.73978748721964,Interpolation (In between)
295.48601847511884,695.9654821375639,602.3778877013981,Interpolation (In between)
295.49004885246916,483.6243931349982,313.60234065351796,Interpolation (In between)
295.6533703403339,1804.0670833908637,873.8532886037727,Interpolation (In between)
296.40481500560173,684.5516814456312,693.916035302642,Destructive (Worse than both)
296.7101307462224,389.66570379127324,403.23937764804634,Destructive (Worse than both)
297.47683420153027,875.782046066345,726.8616200818647,Interpolation (In between)
297.6079705471433,387.95351675661584,381.54765695027515,Interpolation (In between)
297.83527627628996,1009.9355399935662,556.6312402054375,Interpolation (In between)
297.9243121801999,390.44060696907184,466.4161181531099,Destructive (Worse than both)
298.3762822539993,492.3624037363714,297.08391103769924,Synergy (Better than both)
298.543599333145,1804.0670833908637,907.2097730263694,Interpolation (In between)
299.3566704752054,1804.0670833908637,852.7639598793019,Interpolation (In between)
299.8087169263591,731.3789067678053,585.0752711821583,Interpolation (In between)
300.07164009075973,359.9069682805293,359.4046251337561,Interpolation (In between)
300.5490361591073,1804.0670833908637,852.079038653055,Interpolation (In between)
302.5736842990302,1804.0670833908637,907.1939778535625,Interpolation (In between)
303.39193132420957,1804.0670833908637,929.7204395605459,Interpolation (In between)
303.4469184206213,415.81025556765326,403.1674135526579,Interpolation (In between)
303.5478147763672,428.26587294956187,355.06977757817583,Interpolation (In between)
304.0530867355878,705.0634723846817,561.6020515554783,Interpolation (In between)
304.2164155753842,1804.0670833908637,901.2881478525346,Interpolation (In between)
304.3164754158828,373.81594183130113,320.5844051095843,Interpolation (In between)
305.06305254369795,1804.0670833908637,881.5179017946502,Interpolation (In between)
305.3717273728382,783.7324603986872,521.8713715254428,Interpolation (In between)
305.5736680009303,1804.0670833908637,954.3748024531579,Interpolation (In between)
306.3925884330967,668.0197374614215,491.675102553921,Interpolation (In between)
306.66425274569934,584.3656340785918,542.8857761088136,Interpolation (In between)
306.76739197664506,1804.0670833908637,862.6045321061395,Interpolation (In between)
306.8035119265095,1804.0670833908637,902.1773936705397,Interpolation (In between)
307.08270936157237,617.1072503573671,494.1631290332235,Interpolation (In between)
