route_count,total_fleet,sample_size,route_index,route_id,allocation_mean,allocation_std,allocation_cv,demand_mean,demand_std,demand_cv
16,160,400,8,R008,5.42857143,1.13389342,0.20887510,4135.71428571,1561.33529543,0.37752494
16,160,400,9,R009,12.14285714,1.21498579,0.10005765,19602.00000000,3645.89760324,0.18599620
16,160,400,10,R010,15.14285714,0.89973541,0.05941649,29864.85714286,2372.99939799,0.07945792
16,160,400,11,R011,11.00000000,1.52752523,0.13886593,15818.71428571,3820.90973959,0.24154363
16,160,400,12,R012,11.85714286,0.89973541,0.07588130,17718.28571429,2053.96451724,0.11592343
16,160,400,13,R013,6.28571429,0.75592895,0.12026142,5247.57142857,1332.96247223,0.25401512
16,160,400,14,R014,13.42857143,0.97590007,0.07267341,23443.71428571,3524.41558816,0.15033520
16,160,400,15,R015,12.28571429,1.11269728,0.09056838,19988.14285714,2805.07055340,0.14033673
16,160,450,0,R000,22.00000000,1.41421356,0.06428243,73184.57142857,9249.27809538,0.12638290
16,160,450,1,R001,6.42857143,0.78679579,0.12239046,6616.71428571,1628.01512219,0.24604585
16,160,450,2,R002,13.57142857,0.78679579,0.05797443,27413.57142857,2831.17748514,0.10327649
16,160,450,3,R003,5.42857143,0.78679579,0.14493607,4343.85714286,1048.79350185,0.24144291
16,160,450,4,R004,11.71428571,1.38013112,0.11781607,20279.28571429,4458.34774007,0.21984738
16,160,450,5,R005,1.85714286,0.37796447,0.20351933,713.42857143,285.75855609,0.40054263
16,160,450,6,R006,5.28571429,0.95118973,0.17995481,4268.42857143,1147.05403202,0.26872982
16,160,450,7,R007,5.85714286,1.34518542,0.22966580,5306.71428571,2375.83506121,0.44770359
16,160,450,8,R008,5.85714286,1.77281052,0.30267497,5573.28571429,3402.66487302,0.61053121
16,160,450,9,R009,12.28571429,1.11269728,0.09056838,22929.42857143,3585.25479602,0.15636041
16,160,450,10,R010,15.28571429,1.11269728,0.07279328,33602.14285714,4499.26425202,0.13389813
16,160,450,11,R011,10.28571429,1.11269728,0.10817890,16256.42857143,3212.11746657,0.19759060
16,160,450,12,R012,11.42857143,1.39727626,0.12226167,19992.42857143,4809.12618040,0.24054737
16,160,450,13,R013,7.00000000,0.57735027,0.08247861,7314.85714286,920.03648996,0.12577641
16,160,450,14,R014,13.71428571,0.75592895,0.05511982,28272.85714286,2757.71641209,0.09753936
16,160,450,15,R015,12.00000000,1.00000000,0.08333333,21684.71428571,3928.10007995,0.18114604
16,160,500,0,R000,21.28571429,1.38013112,0.06483837,75434.14285714,8257.84573257,0.10947093
16,160,500,1,R001,5.57142857,0.78679579,0.14121976,5564.00000000,1253.81138932,0.22534353
16,160,500,2,R002,13.00000000,0.57735027,0.04441156,28716.42857143,3343.18549975,0.11642066
16,160,500,3,R003,5.00000000,0.57735027,0.11547005,4478.85714286,867.09504065,0.19359739
16,160,500,4,R004,12.57142857,1.51185789,0.12026142,26885.71428571,5388.27785457,0.20041416
16,160,500,5,R005,2.42857143,0.53452248,0.22009749,921.42857143,457.06449477,0.49603899
16,160,500,6,R006,5.57142857,0.53452248,0.09593993,5437.28571429,1184.37799629,0.21782523
16,160,500,7,R007,7.00000000,0.57735027,0.08247861,8474.28571429,1601.21877688,0.18895029
16,160,500,8,R008,5.28571429,1.25356634,0.23716120,4823.42857143,2091.39904188,0.43359179
16,160,500,9,R009,12.71428571,0.75592895,0.05945509,27086.14285714,3842.29373459,0.14185459
16,160,500,10,R010,15.00000000,1.00000000,0.06666667,38055.57142857,5375.29921205,0.14124868
16,160,500,11,R011,10.28571429,1.25356634,0.12187451,18354.71428571,4410.30239758,0.24028172
16,160,500,12,R012,11.14285714,0.69006556,0.06192896,21778.28571429,2468.70105618,0.11335608
16,160,500,13,R013,6.85714286,0.69006556,0.10063456,7579.28571429,1510.18439429,0.19925155
16,160,500,14,R014,13.57142857,0.97590007,0.07190843,31068.14285714,3420.73512706,0.11010427
